db,stimuli,mos,mos_pred,model
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_16.wav,2.0,2.4587185382843018,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_60.wav,3.0,2.663207769393921,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_56.wav,1.0,2.5275259017944336,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_89.wav,2.0,2.523146152496338,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_96.wav,2.0,2.3740274906158447,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_91.wav,2.0,1.9854142665863037,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_12.wav,3.0,2.5711445808410645,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_40.wav,1.0,2.7465646266937256,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_9.wav,1.0,2.337017774581909,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_5.wav,1.0,2.7401371002197266,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_70.wav,2.0,2.593846082687378,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_88.wav,1.0,2.244493246078491,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_7.wav,1.0,2.4526734352111816,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_3.wav,1.0,2.3068671226501465,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_64.wav,1.0,2.569031000137329,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_34.wav,1.0,2.3301842212677,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_65.wav,2.0,2.3815548419952393,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_18.wav,2.0,2.61173415184021,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_10.wav,1.0,2.4619946479797363,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_79.wav,1.0,2.5864312648773193,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_27.wav,1.0,2.5034430027008057,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_32.wav,1.0,2.5973618030548096,finetune_NISQA_1
A4,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/A/A4/sabrina_loquendo_51.wav,1.0,2.6097252368927,finetune_NISQA_1
