participant_id,age,gender_participant,country,province,education,headphone_brand,stimuli,score,stimuli_group,stimuli_service,gender_stimuli,dialect,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00913913795.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,3.1186042,4.0126805,3.3192134,3.3973198,3.668843,NISQAv2
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00546762557.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,2.391046,3.8472874,2.2904103,2.8595226,3.4169018,NISQAv2
9fig36z1cml41m265ckifw,25,M,AR,Buenos Aires,4,Sony,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00621699750.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,2.9677346,4.084441,2.7004027,3.3439643,3.8748276,NISQAv2
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00912390302.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,4.1459804,2.9082327,3.7331069,4.181409,3.8436182,NISQAv2
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01772510223.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG,3.5647087,3.7705948,3.4204035,3.6926768,3.6724463,NISQAv2
yteg94bzq131bqsl7uyqo,20,M,AR,Buenos Aires,3,sennheiser,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00670555472.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.262365,4.256165,4.3645263,4.1603956,4.1714506,NISQAv2
fn5aaw2w41wmd3pb8i0fus,27,M,AR,Ciudad Aut�noma de Buenos Aires,3,,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00682913941.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,3.8094656,4.118259,4.064521,3.85486,4.011593,NISQAv2
t6ybrbbo92bx87dy9vpy,26,M,AR,Ciudad Aut�noma de Buenos Aires,3,Sennheiser HD 206,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01095857715.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,4.5919933,4.4029813,4.6076045,4.4130335,4.4985223,NISQAv2
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_00333943217.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,2.7847266,3.8626208,2.5654395,3.2397828,3.2962127,NISQAv2
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,/home/udesa_ubuntu/tesis/frontend/public/assets/stimuli_norm/E/E2/arf_00610_01805030745.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG,3.893998,4.297947,4.0140324,3.8853686,3.928232,NISQAv2
