,DC_TTS_Camila_Godoy,DC_TTS_Celeste_Arretche,DC_TTS_LucasDiaz,DC_TTS_MaxSignorini,DC_TTS_Miguel_Grassi,DC_TTS_NaomiBent,DC_TTS_SanMig,Fastpitch_MultiSpeaker,Fastpitch_ar,Fastpitch_esp,Fastpitch_esp2,Loquendo_f,PollyN_Fiona,PollyN_Pedro,Polly_Enrique,Polly_Lupe,Polly_Mia,Polly_Miguel,Polly_Penelope,Polly_conchita,Polly_enrique_GL,Speechelo_Albano,Speechelo_Fiore,Speechelo_olimpia,Speechelo_pricila,VTLPes-AR-Tomas,VTLPes-AR-TomasElena,VTLPes-BO-MarceloNeural,VTLPes-ES-ElviraNeural,azure_AR-Elena,azure_AR-Tomas,es-BO-MarceloNeural,es-BO-SofiaNeural,es-ES-AlvaroNeural,es-ES-ElviraNeural,es-MX-JorgeNeural,es_ar_librivox,neruas_f1_arg,neruas_f2_arg,neruas_m1_arg,neruas_m2_arg,open_srl_es_ar_female_1,open_srl_es_ar_female_2,open_srl_es_ar_male_1,open_srl_es_ar_male_1_GL,open_srl_es_ar_male_2,open_srl_es_ar_male_3,speecheloAI_Leticia,speecheloAI_Olimpia,speechelo_lalita,tiktok_m1,tiktok_m2,tts_dewhitte
DC_TTS_Camila_Godoy,1.0,1.0,0.052038410942469256,1.0,1.0,1.0,1.0,1.0,1.0339929354563775e-05,0.003218720410318981,9.93305165501119e-07,1.0,0.04073542026187069,0.0002614711590998617,0.07327619682095052,1.0,1.0,1.0,1.0,1.0,1.0,0.023241582623366872,1.0,1.0,1.0,1.0,1.0,1.0,0.020888678311650213,5.426999229805451e-12,0.00022596589782450697,0.0036556599107290455,1.0,3.906321025079953e-05,1.0,5.015037801291655e-07,3.6406079066323616e-46,0.0006306295158550251,1.0,1.0,1.0,2.028048733842876e-45,1.936218629440748e-48,7.601406019939139e-43,2.1873390666106996e-32,7.652541310722242e-48,7.02718468198357e-49,3.0672635223626114e-08,1.0,1.0,1.0,1.0,1.0
DC_TTS_Celeste_Arretche,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014107645974373278,1.0,1.0,1.0,0.4858277797094265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.84897447167693e-05,5.069845640335168e-09,0.0005776939801148573,1.0,1.0,1.0,1.0,1.0,0.4047498569491725,1.319015182151517e-26,1.0,1.0,1.0,1.0,9.105886841708704e-28,9.338422565063545e-30,2.0081460255504024e-26,6.259432743235205e-17,1.3475967491493144e-29,5.944447078227909e-30,0.26219147315067354,1.0,1.0,1.0,1.0,4.433723973024067e-05
DC_TTS_LucasDiaz,0.052038410942469256,1.0,1.0,1.0,1.0,0.23428033312000446,1.0,2.713123313358432e-05,1.0,1.0,1.0,0.004339489988029813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09633848800551008,0.09633848800551008,2.1695043379097496e-07,3.780626193206709e-12,0.20227104455803424,1.0,1.0,1.0,1.0,1.0,1.0,7.850240943641112e-19,1.0,1.0,1.0,1.0,1.43649372185896e-20,4.3439700718106125e-22,9.963964560487868e-20,3.738238190761102e-11,4.303758599793057e-22,3.454396734174529e-22,1.0,1.0,1.0,1.0,1.0,6.831462647731934e-08
DC_TTS_MaxSignorini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6257574411037832,0.030465533084447417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5182032430694151,1.0,1.0,1.0,1.0,0.06810693041847805,0.04732815515887999,0.054906451451685365,1.0,0.03614038689691186,0.0512891266245942,1.0,1.0,1.0,1.0,1.0,0.6668841318959847
DC_TTS_Miguel_Grassi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02783699942277383,1.0,1.0,1.0,1.0,0.0046335618863492314,0.0034231079511615175,0.0037898543741894247,0.3349137682646902,0.0027026996636570003,0.0036771529968436328,1.0,1.0,1.0,1.0,1.0,1.0
DC_TTS_NaomiBent,1.0,1.0,0.23428033312000446,1.0,1.0,1.0,1.0,1.0,0.0002105714147976288,0.02918235225573459,2.7950883257187386e-05,1.0,0.18541316555125112,0.002034215258290999,0.2998648371711343,1.0,1.0,1.0,1.0,1.0,1.0,0.10147917311136281,1.0,1.0,1.0,1.0,1.0,1.0,0.02163062092773185,2.2222675193554335e-10,0.0011494381461904764,0.020344091952270812,1.0,0.00037029377540141446,1.0,5.707196985751093e-06,3.755751794683718e-40,0.0028544901986411937,1.0,1.0,1.0,2.247495016826905e-40,6.346659782734224e-43,2.3370301320277229e-38,3.6535949730199795e-28,1.5386621613374605e-42,3.022708026709208e-43,7.15166616747554e-07,1.0,1.0,1.0,1.0,1.0
DC_TTS_SanMig,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0735033040025984,1.0,1.0,1.0,1.0,1.0,0.7986433116644259,3.8644010424143776e-07,1.0,1.0,1.0,1.0,2.0561776300762884e-08,1.1045396149019899e-08,1.679724180247408e-08,4.128457624841189e-05,7.711979896046408e-09,1.2196651911663473e-08,0.9587807579305968,1.0,1.0,1.0,1.0,1.0
Fastpitch_MultiSpeaker,1.0,0.014107645974373278,2.713123313358432e-05,1.0,1.0,1.0,1.0,1.0,4.609144160296618e-12,3.633465617015821e-08,1.2604658623179003e-13,1.0,2.1346391457860768e-05,1.9578358972745038e-08,6.420573401827026e-05,1.0,0.009486291571675786,0.08093850430189155,0.7202356999134931,1.0,1.0,1.846165616712005e-05,1.0,1.0,0.6602538745258935,1.0,1.0,1.0,0.2580340949678339,1.5911650605612438e-18,1.7404697470429967e-07,1.0554530699882886e-06,0.15620204306846575,1.4467025972073832e-09,1.0,1.546607496202202e-11,2.88184010369534e-68,7.694663310415967e-07,1.0,0.7285399921636933,1.0,4.03234604156094e-63,8.003268106918003e-68,1.8648204205831277e-58,2.8641036337212074e-48,2.2794589224206566e-66,9.915010690466228e-69,3.525404853704314e-14,1.0,1.0,1.0,1.0,1.0
Fastpitch_ar,1.0339929354563775e-05,1.0,1.0,1.0,1.0,0.0002105714147976288,1.0,4.609144160296618e-12,1.0,1.0,1.0,5.093701972018447e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06512687473817699,1.0,1.0,1.0,0.7437053481204202,1.0,0.00023666555136739865,0.00023666555136739865,4.993180000265623e-13,1.792663419068798e-19,1.0,1.0,1.0,1.0,1.0,0.2588370338915003,1.0,1.8811868209643347e-20,1.0,1.0,1.0,1.0,1.025907184330398e-21,1.2456138098586367e-23,1.7167784826459034e-20,2.995714730094785e-11,1.698946220087781e-23,8.151999668328576e-24,1.0,1.0,0.8698154282933788,1.0,1.0,2.8852082714807486e-14
Fastpitch_esp,0.003218720410318981,1.0,1.0,1.0,1.0,0.02918235225573459,1.0,3.633465617015821e-08,1.0,1.0,1.0,0.00018871492003715373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017199868096855614,0.017199868096855614,9.350878105902307e-10,1.3583360130136613e-15,0.03499258125980913,1.0,1.0,1.0,1.0,1.0,1.0,1.6468516738014038e-25,1.0,1.0,1.0,1.0,2.586443274246079e-26,1.5977464944620046e-28,9.225420619361008e-25,4.796713771725991e-15,2.8294199140119463e-28,8.997555851509638e-29,1.0,1.0,1.0,1.0,1.0,1.1309717689596677e-10
