stimuli_group,score
A1,1.8907563025210083
A10,1.7
A2,2.388888888888889
A3,1.7586206896551724
A4,1.7448979591836735
A5,1.4485981308411215
A6,2.610526315789474
A7,1.9387755102040816
A8,2.8181818181818183
A9,2.0
B1,2.721212121212121
B10,1.8253968253968254
B2,2.5515151515151517
B3,2.219178082191781
B4,1.7
B5,2.0
B6,2.6363636363636362
B7,2.7696969696969695
B8,1.449438202247191
B9,1.1666666666666667
C1,2.2134831460674156
C10,2.375
C2,2.5625
C3,2.7954545454545454
C4,2.225
C5,2.6363636363636362
C6,2.1095890410958904
C7,2.056179775280899
C8,2.5697674418604652
C9,2.1847826086956523
D1,3.0392156862745097
D10,2.1666666666666665
D2,2.3230769230769233
D3,3.0
D4,2.1979166666666665
D5,2.6867469879518073
D6,2.8255813953488373
D7,2.1052631578947367
D8,4.093220338983051
D9,2.269230769230769
E1,4.857142857142857
E10,3.074626865671642
E2,4.878787878787879
E3,4.529850746268656
E4,4.9
E5,4.923913043478261
E6,3.3506493506493507
E7,2.9411764705882355
E8,2.3968253968253967
E9,4.861386138613861
