participant_id,age,gender,country,province,education,headphone_brand,stimuli,score,stimuli_group
5fiqr8ma74n55dce4kct9f,25,M,AR,,2,,E/E2/arf_00610_01166860348.wav,1.0,E2
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_89.wav,2.0,C7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E6/es-AR-ElenaNeural28.wav,3.0,E6
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D9/priscilla_76.wav,3.0,D9
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B1/audio70.wav,2.0,B1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A4/sabrina_loquendo_16.wav,2.0,A4
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E1/arf_00295_01207660715.wav,5.0,E1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D8/arm_08784_00550180927.wav_GL.wav,4.0,D8
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C1/penelope2_59.wav,3.0,C1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A5/tts_dev_thomas_69.wav,2.0,A5
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B1/audio1.wav,2.0,B1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E4/arm_08784_00826337373.wav,5.0,E4
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B7/audio188.wav,2.0,B7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C8/enrique_13.wav,3.0,C8
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A7/193.wav,1.0,A7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D6/es-ES-AlvaroNeural77.wav,2.0,D6
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A5/tts_dev_thomas_50.wav,1.0,A5
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C3/pedro_45.wav,3.0,C3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D3/leticia_6.wav,3.0,D3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B7/audio152.wav,2.0,B7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E3/audio_97.wav,5.0,E3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B2/audio5.wav,3.0,B2
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A4/sabrina_loquendo_60.wav,3.0,A4
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_69.wav,2.0,C7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D4/olimpiaAI_15.wav,4.0,D4
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E1/arf_00295_00534479322.wav,5.0,E1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C2/fiona2.mp3,2.0,C2
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A5/tts_dev_thomas_13.wav,1.0,A5
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B1/audio3.wav,3.0,B1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D5/es-BO-MarceloNeural8.wav,3.0,D5
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E7/es-AR-TomasNeural63.wav,3.0,E7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_56.wav,3.0,C7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D7/es-ES-ElviraNeural65.wav,2.0,D7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E9/arm_09697_00024656527.wav,5.0,E9
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A2/74.wav,2.0,A2
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B1/audio170.wav,4.0,B1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D3/leticia_88.wav,2.0,D3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E6/es-AR-ElenaNeural35.wav,4.0,E6
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita_46.wav,3.0,C7
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B3/enrique2_82.wav_GL.wav,2.0,B3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A3/audio176.wav,1.0,A3
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,A/A1/3.wav,1.0,A1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,E/E10/es-MX-JorgeNeural94.wav,3.0,E10
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C1/penelope_33.wav,3.0,C1
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,B/B10/VTLP_es-AR-TomasNeural11.wav.wav,1.0,B10
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,D/D9/priscilla_60.wav,3.0,D9
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B3/enrique2_84.wav_GL.wav,1.0,B3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D5/es-BO-MarceloNeural83.wav,3.0,D5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A5/tts_dev_thomas_65.wav,1.0,A5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E6/es-AR-ElenaNeural91.wav,5.0,E6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C10/mia2_94.wav,3.0,C10
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B4/7.wav,2.0,B4
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E8/es-BO-SofiaNeural59.wav,4.0,E8
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D1/f1col_6.wav,1.0,D1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A5/tts_dev_thomas_4.wav,2.0,A5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C5/albano_4.wav,3.0,C5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E4/arm_08784_01865158221.wav,5.0,E4
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B3/enrique2_74.wav_GL.wav,2.0,B3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D7/es-ES-ElviraNeural44.wav,3.0,D7
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A7/102.wav,1.0,A7
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C4/fiore_85.wav,3.0,C4
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E5/arm_00610_01683821098.wav,5.0,E5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B8/VTLP_es-BO-MarceloNeural10.wav.wav,1.0,B8
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C5/albano_46.wav,2.0,C5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D3/leticia_26.wav,3.0,D3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A3/audio53.wav,2.0,A3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E6/es-AR-ElenaNeural62.wav,2.0,E6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B1/audio72.wav,3.0,B1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A3/audio96.wav,1.0,A3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D10/lalita_77.wav,2.0,D10
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C10/mia2_53.wav,4.0,C10
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D5/es-BO-MarceloNeural95.wav,2.0,D5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B8/VTLP_es-BO-MarceloNeural57.wav.wav,1.0,B8
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E2/arf_00610_00913913795.wav,5.0,E2
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A3/audio184.wav,1.0,A3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C6/olimpia_13.wav,4.0,C6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E3/audio_54.wav,5.0,E3
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C10/mia_29.wav,2.0,C10
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B1/audio122.wav,3.0,B1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D6/es-ES-AlvaroNeural31.wav,3.0,D6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A1/6.wav,1.0,A1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C9/lupe_6.wav,3.0,C9
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A5/tts_dev_thomas_73.wav,2.0,A5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E2/arf_00610_00546762557.wav,5.0,E2
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B1/audio46.wav,2.0,B1
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D5/es-BO-MarceloNeural70.wav,3.0,D5
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E4/arm_08784_01659910757.wav,5.0,E4
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,C/C2/fiona2_68.wav,4.0,C2
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,D/D6/es-ES-AlvaroNeural55.wav,3.0,D6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B8/VTLP_es-BO-MarceloNeural25.wav.wav,1.0,B8
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A6/96.wav,3.0,A6
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,A/A8/9.wav,3.0,A8
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,B/B9/VTLP_es-ES-ElviraNeural54.wav.wav,1.0,B9
