participant_id,age,gender_participant,country,province,education,headphone_brand,stimuli,score,stimuli_group,stimuli_service,gender_stimuli,dialect
5fiqr8ma74n55dce4kct9f,25,M,AR,,2,,E/E2/arf_00610_01166860348.wav,1.0,E2,open_srl_es_ar_female_2,F,ARG
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E2/arf_00610_00913913795.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ymxfxn696we9rp1tnnub3f,26,P,AR,Buenos Aires,5,samsung,E/E2/arf_00610_00546762557.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
9fig36z1cml41m265ckifw,25,M,AR,Buenos Aires,4,Sony,E/E2/arf_00610_00621699750.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,E/E2/arf_00610_00912390302.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,E/E2/arf_00610_01772510223.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
yteg94bzq131bqsl7uyqo,20,M,AR,Buenos Aires,3,sennheiser,E/E2/arf_00610_00670555472.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
fn5aaw2w41wmd3pb8i0fus,27,M,AR,Ciudad Aut�noma de Buenos Aires,3,,E/E2/arf_00610_00682913941.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
t6ybrbbo92bx87dy9vpy,26,M,AR,Ciudad Aut�noma de Buenos Aires,3,Sennheiser HD 206,E/E2/arf_00610_01095857715.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,E/E2/arf_00610_00333943217.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,E/E2/arf_00610_01805030745.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
36w18huenqzembkxhb4b67,28,M,AR,Ciudad Aut�noma de Buenos Aires,2,,E/E2/arf_00610_01838963639.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
i035g56vlm5ayg6ke1amp,25,F,AR,Buenos Aires,3,Samsung,E/E2/arf_00610_01852058096.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
i035g56vlm5ayg6ke1amp,25,F,AR,Buenos Aires,3,Samsung,E/E2/arf_00610_00607531266.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
