participant_id,score,stimuli_group
ymxfxn696we9rp1tnnub3f,5,E2
ymxfxn696we9rp1tnnub3f,5,E2
9fig36z1cml41m265ckifw,5,E2
vj735xlt2yj805wyn5rimq,4,E2
vj735xlt2yj805wyn5rimq,4,E2
yteg94bzq131bqsl7uyqo,5,E2
fn5aaw2w41wmd3pb8i0fus,5,E2
t6ybrbbo92bx87dy9vpy,5,E2
bkaa9b0qt4ogrmp1inpjol,5,E2
bkaa9b0qt4ogrmp1inpjol,5,E2
36w18huenqzembkxhb4b67,5,E2
i035g56vlm5ayg6ke1amp,5,E2
i035g56vlm5ayg6ke1amp,5,E2
4kkajwqbxbr4zfc0eys6a3,4,E2
ztwx6tnel7ogegc0h9hjqr,4,E2
ztwx6tnel7ogegc0h9hjqr,4,E2
wqc6g1y755ulfhnkoksei,4,E2
c6o6iafmvykjd72hc517n,3,E2
iboag27p95cimh20dsteol,5,E2
7nx1cmjz8nin1rn9la865,5,E2
ee4i8isvlpyncgz1odqs,5,E2
qs8j8yj1w5ilprwml3zr,5,E2
k4yipc557y1uklyxj98p4,5,E2
k4yipc557y1uklyxj98p4,5,E2
206p58uyu9nk2vq5pzue1,5,E2
r8o2ms5swtmufwnw27wiah,5,E2
r8o2ms5swtmufwnw27wiah,5,E2
iwaqiwf7086hwu3jlrcvh,5,E2
iwaqiwf7086hwu3jlrcvh,5,E2
cygru7b0m97zh2lg5og05,5,E2
gjuhi5xh19bytuxd7u4j,5,E2
73syy4aj18k6olr11ypxl,4,E2
73syy4aj18k6olr11ypxl,4,E2
27o0tqrm38o6wjtgaiqzy7,5,E2
27o0tqrm38o6wjtgaiqzy7,5,E2
eflnh6b2i1rrh5nbeihqq,5,E2
puzr5n1dz0hnteu0g8wdrr,5,E2
puzr5n1dz0hnteu0g8wdrr,5,E2
ysobwzccpice783avao5c,5,E2
ysobwzccpice783avao5c,5,E2
ysobwzccpice783avao5c,5,E2
e2q2qom6xvfgo3wyh5kqy9,5,E2
la9i1e7oumst6k8lv30b,5,E2
jrttbqgqqienzwrc3qcif,5,E2
vks4a5zeivbfimepmxbxq,5,E2
8hawot9erl511ryvmug1d,5,E2
8hawot9erl511ryvmug1d,5,E2
3u64elxh3bm4hoeutjzcgg,5,E2
3u64elxh3bm4hoeutjzcgg,5,E2
3u64elxh3bm4hoeutjzcgg,5,E2
r5oyw6bphipfrusmxjmul8,5,E2
r5oyw6bphipfrusmxjmul8,5,E2
cirn7eog41vg0o0yloylkb,5,E2
c7sw3mgoqk8joc7ltgswmq,5,E2
kufwhzb3v0da7ognamj9lj,5,E2
l61ianl0xcl23xyrqw1c5g,5,E2
27v7gfob3bcutmzb232i,5,E2
8vv9ehdydhtteajhc5i3gs,4,E2
1fgxubpy0xwiv2pej4vr2b9,5,E2
1fgxubpy0xwiv2pej4vr2b9,5,E2
9p8073vpokhypph8y2w3np,5,E2
9p8073vpokhypph8y2w3np,5,E2
9p8073vpokhypph8y2w3np,5,E2
i32rhoo9jorzz2cutckge,5,E2
syisq60f84n1v8n1z217m,5,E2
23941hs1otfeqo20p4kqo,5,E2
0686z3qx28ycuvnhfh47s4,5,E2
