participant_id,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9
0686z3qx28ycuvnhfh47s4,1.0,,,1.0,2.0,1.3333333333333333,3.0,1.0,,,2.0,,2.5,3.0,,,2.0,2.0,1.0,,,3.0,3.0,3.3333333333333335,,,2.5,,3.0,,,,2.0,,3.0,3.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,,,4.0,3.0,,5.0
0om1fva4uhily4cvg6368lr,1.0,,2.0,1.0,2.5,1.3333333333333333,,1.0,,,2.75,1.0,3.0,2.0,,,,2.0,,,3.0,,,3.0,,,,2.5,3.0,,,,,2.5,4.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,,5.0,5.0,,3.5,3.0,,5.0
0ym8eutpogxka159e5ipr,4.0,,5.0,2.0,2.5,,,4.0,,,2.0,1.0,3.6666666666666665,2.0,,2.0,,,,1.0,1.0,,3.0,3.5,,,2.0,2.0,3.0,,,,,3.5,3.0,3.5,3.0,2.0,,2.5,5.0,5.0,,4.5,5.0,5.0,3.0,4.0,,5.0
1fgxubpy0xwiv2pej4vr2b9,,,,1.0,,2.0,1.0,1.0,,,1.5,1.0,2.0,,,,,2.6666666666666665,2.0,,2.0,3.0,3.0,,3.0,,4.0,,2.0,3.0,,2.0,2.0,4.0,2.0,3.0,,2.5,4.333333333333333,,5.0,,5.0,5.0,,5.0,,2.5,3.0,5.0
1op1nsk5as4g01i0b6df4,1.0,,2.0,1.5,,,1.5,2.0,,,3.3333333333333335,1.0,3.0,3.0,,,3.0,3.0,,1.5,,3.0,,3.0,2.3333333333333335,3.0,3.0,,,2.5,,,,3.0,2.0,3.0,4.0,3.0,4.5,2.0,,3.0,5.0,5.0,,,,3.5,1.5,5.0
206p58uyu9nk2vq5pzue1,1.0,,,1.0,1.0,1.0,1.5,,,,1.0,,1.6666666666666667,1.0,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.5,,5.0,1.0,1.0,1.0,,,2.0,,,,5.0,3.0,2.0,4.0,,1.0,1.0,4.0
23941hs1otfeqo20p4kqo,3.0,,2.0,2.0,3.0,,2.0,1.0,,,3.5,,2.5,2.5,,,,2.5,1.0,,,3.0,3.0,,2.0,,,3.0,3.0,3.0,4.5,,,3.0,3.0,,3.0,3.0,4.5,2.0,5.0,4.0,5.0,5.0,5.0,,3.6666666666666665,,,5.0
27o0tqrm38o6wjtgaiqzy7,1.0,,2.5,4.0,,1.0,5.0,,,,,5.0,2.6666666666666665,,,2.0,1.0,3.5,,,,,,1.3333333333333333,5.0,,,2.0,2.5,2.0,,,2.0,3.0,,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,,,5.0,4.0,,4.0,
27v7gfob3bcutmzb232i,1.3333333333333333,,1.0,1.0,,1.0,,,,,2.5,,2.5,2.0,,,3.0,3.0,,1.0,,4.0,,4.0,,2.0,,4.0,4.0,2.3333333333333335,5.0,3.0,2.0,,3.5,4.0,3.0,3.0,,,5.0,4.5,5.0,,5.0,,,3.0,,5.0
2usvcjv42qa2ai740w1pyp,3.0,,,3.0,2.0,,3.6666666666666665,3.0,,,,3.0,2.0,,,,,2.0,2.0,1.0,1.0,,1.6666666666666667,1.0,,,,1.0,1.5,,,,3.0,3.0,,2.0,1.5,,4.0,,,2.0,,5.0,5.0,5.0,,3.5,4.0,5.0
2xzqu3dshjhelyob7pu07b,3.0,,4.0,2.5,1.0,1.0,3.0,3.0,,,3.0,,,3.0,,,,3.0,1.0,1.3333333333333333,,,1.0,2.0,,3.0,,2.0,,2.25,4.0,1.25,,,2.0,3.0,,2.0,4.0,,5.0,,,4.0,5.0,5.0,,,3.0,5.0
36w18huenqzembkxhb4b67,2.0,,,1.0,1.0,2.0,,1.0,,,3.0,,1.0,2.0,2.0,4.0,5.0,3.5,,1.0,3.0,2.0,2.5,4.0,3.0,4.0,,,,,,2.0,5.0,,4.0,2.0,5.0,2.3333333333333335,,4.0,,,5.0,,5.0,5.0,3.0,4.0,,4.5
38vs1n02f4iaxehu9v4n1p,3.5,,3.0,,1.5,,4.333333333333333,4.0,,,2.0,,3.0,2.0,,,,3.25,,1.0,,2.0,,3.5,2.0,3.25,2.0,,,,,3.0,,,2.0,,3.25,,,4.0,5.0,2.0,,,5.0,,4.5,,3.0,5.0
3szg6xzqeq7ohj6myf0j,,,1.6666666666666667,1.0,2.0,1.0,1.5,2.0,,,1.0,1.0,2.5,,,,,2.5,1.5,1.0,2.5,3.0,3.0,4.0,2.0,,2.0,3.0,,2.0,,,2.0,3.3333333333333335,3.0,3.0,,,3.0,3.0,5.0,3.0,,5.0,5.0,5.0,2.0,3.0,,5.0
3u64elxh3bm4hoeutjzcgg,,,3.5,3.3333333333333335,1.0,1.0,5.0,,,,1.0,4.0,3.0,,,,1.0,,4.0,,1.0,1.5,,,,1.0,1.0,1.0,,1.0,5.0,,4.0,4.0,,1.0,,1.5,4.0,,,,5.0,,5.0,5.0,1.0,2.0,,5.0
41ipc2ehbde5wrxnyq0w55,,,1.5,1.3333333333333333,2.0,,3.0,1.0,2.0,,2.0,,3.0,,,,,2.5,2.0,1.0,3.0,2.5,3.0,3.0,,2.0,,2.0,2.0,3.0,,,,2.5,2.0,3.0,,2.5,5.0,3.0,5.0,3.0,4.666666666666667,,4.0,,4.0,,2.0,5.0
4kkajwqbxbr4zfc0eys6a3,4.0,,5.0,3.0,,2.0,4.0,3.6666666666666665,,,2.0,,2.0,3.0,,2.0,,,1.3333333333333333,,2.0,2.0,2.5,3.0,3.0,3.0,2.0,2.0,1.0,,,1.5,,,2.0,2.0,2.0,2.0,4.0,2.0,5.0,,4.0,3.6666666666666665,,4.0,4.0,4.0,,
4w3jomxcys3o6tdzpbjzd,1.0,,2.0,1.0,,,,,,,4.0,1.0,4.0,,,,,2.5,1.0,,,,4.0,2.0,3.0,3.0,,,3.0,,1.6666666666666667,4.0,,4.5,2.0,2.0,,,3.0,,,,,4.5,4.666666666666667,4.0,3.0,4.0,4.0,
73syy4aj18k6olr11ypxl,,,1.5,2.0,1.0,1.0,4.0,1.5,,,4.0,1.5,3.5,,,,,3.0,,,2.0,,1.6666666666666667,,,,,2.5,,1.5,,,4.0,,1.5,,3.0,,3.5,2.5,5.0,4.0,4.0,,5.0,,4.0,,,5.0
7b5is1ev3w2i0d3q80ohck,2.0,,2.0,1.0,2.0,2.0,2.0,1.0,,,2.5,1.0,,2.0,,,3.0,,,1.0,2.6666666666666665,,,3.5,4.0,,2.0,2.0,2.0,,3.0,,1.0,3.0,,4.0,3.0,2.5,,2.6666666666666665,5.0,3.0,,5.0,,,,2.0,,5.0
7nx1cmjz8nin1rn9la865,1.0,,2.0,1.0,,1.5,,1.0,,,5.0,1.0,2.0,2.0,,,3.0,2.0,,,3.0,,3.3333333333333335,,4.0,,,,3.0,2.0,3.0,3.0,,4.0,3.0,,3.0,2.5,,3.0,,,5.0,5.0,,5.0,,,,5.0
