target,output,stimuli,condition
2,1.7481546,C6/olimpia_45.wav,C6
2,2.0928226,D3/leticia_35.wav,D3
3,1.8833289,C7/conchita_1.wav,C7
1,2.4000187,A3/audio195.wav,A3
3,2.449943,C8/enrique2_98.wav,C8
5,4.2697897,D8/arm_08784_00958898719.wav_GL.wav,D8
4,1.9508448,C10/mia_23.wav,C1
1,2.4043183,B6/miguel-43.wav,B6
2,2.6116753,B7/audio34.wav,B7
2,1.9587777,A6/191.wav,A6
2,1.9541793,A7/186.wav,A7
2,1.6485583,A5/tts_dev_thomas_90.wav,A5
2,1.3806919,D10/lalita_5.wav,D1
4,1,E6/es-AR-ElenaNeural40.wav,E6
5,4.660094,E9/arm_09697_00124067204.wav,E9
1,2.5050426,C3/pedro_32.wav,C3
2,1.7094264,A3/audio78.wav,A3
4,1.3194495,E8/es-BO-SofiaNeural12.wav,E8
2,1.7007546,A2/91.wav,A2
5,3.2272978,E3/audio_128.wav,E3
1,1.4499694,D10/lalita_48.wav,D1
5,4.9719896,E1/arf_00295_01243498718.wav,E1
1,1.0368333,A2/22.wav,A2
3,2.2800856,C1/penelope2_76.wav,C1
5,4.1772017,E3/audio_85.wav,E3
3,2.1803353,B1/audio178.wav,B1
2,1.4338543,A2/35.wav,A2
1,1.5627288,A5/tts_dev_thomas_55.wav,A5
4,1.696439,A3/audio162.wav,A3
2,1.0797722,A4/sabrina_loquendo_24.wav,A4
1,2.0927582,A3/audio127.wav,A3
5,5,E9/arm_09697_00183763397.wav,E9
2,2.4322784,B7/audio68.wav,B7
2,3.2272267,D3/Leticia9-15.wav,D3
5,4.5648375,D8/arm_08784_01611251666.wav_GL.wav,D8
2,2.5770311,B7/audio37.wav,B7
2,3.0618184,B6/miguel-26.wav,B6
1,2.4711978,C2/fiona_16.wav,C2
1,1,B9/VTLP_es-ES-ElviraNeural56.wav.wav,B9
3,2.8947418,C2/fiona2_65.wav,C2
3,2.995915,D5/es-BO-MarceloNeural14.wav,D5
4,2.0988274,B8/VTLP_es-BO-MarceloNeural95.wav.wav,B8
2,2.4929593,B7/audio10.wav,B7
5,5,E5/arm_00610_00161996245.wav,E5
5,4.214565,E3/audio_146.wav,E3
3,2.121605,B10/VTLP_es-AR-ElenaNeural23.wav.wav,B1
3,2.3190284,B1/audio109.wav,B1
3,2.754859,D9/priscilla_8.wav,D9
3,3.3513346,C2/fiona_34.wav,C2
3,3.8471324,E2/arf_00610_00627937971.wav,E2
4,3.4000144,B1/audio159.wav,B1
3,2.86144,D3/leticia_75.wav,D3
3,2.6779032,B10/VTLP_es-AR-TomasNeural17.wav.wav,B1
3,3.2241817,E3/audio_278.wav,E3
1,2.8123817,D7/es-ES-ElviraNeural19.wav,D7
1,2.3997614,A8/5.wav,A8
2,2.7438073,C3/pedro2_65.wav,C3
2,2.0629387,C4/fiore_83.wav,C4
3,1.6877482,C4/fiore_87.wav,C4
5,4.992113,E2/arf_00610_01085113738.wav,E2
4,4.18141,E3/audio_292.wav,E3
5,4.619713,E5/arm_00610_01808861758.wav,E5
1,2.7595062,C8/enrique2_81.wav,C8
1,3.262891,A9/4.wav,A9
2,2.0584898,D1/f1pr_8.wav,D1
2,2.5940826,B1/audio197.wav,B1
3,2.7992876,E7/es-AR-TomasNeural6.wav,E7
3,2.0653534,D7/es-ES-ElviraNeural80.wav,D7
5,2.0084884,A2/17.wav,A2
5,4.803403,E3/audio_53.wav,E3
3,2.4427304,B2/audio32.wav,B2
2,2.1526759,A1/93.wav,A1
2,1.3522007,A1/72.wav,A1
4,1.3712726,C6/olimpia_41.wav,C6
5,4.715781,E5/arm_00610_00135590686.wav,E5
1,2.1445098,A3/audio158.wav,A3
3,2.0200644,B7/audio44.wav,B7
3,1.6075332,A2/8.wav,A2
5,5,E9/arm_09697_02082329754.wav,E9
2,1.049576,B8/VTLP_es-BO-MarceloNeural86.wav.wav,B8
1,1.196096,A4/sabrina_loquendo_55.wav,A4
4,2.940977,B1/audio195.wav,B1
3,2.2605433,E7/es-AR-TomasNeural94.wav,E7
5,3.195833,B7/audio145.wav,B7
4,3.1474535,B7/audio107.wav,B7
1,2.526031,B3/enrique_0.wav_GL.wav,B3
2,2.7435608,B2/audio132.wav,B2
5,4.5040064,E1/arf_00295_00534479322.wav,E1
1,1.6716423,A7/185.wav,A7
1,2.3079858,A6/197.wav,A6
3,2.2576332,B2/audio19.wav,B2
5,2.638745,D1/f1pr_2.wav,D1
4,1.7761617,A7/107.wav,A7
2,1.3201598,D10/lalita_72.wav,D1
5,1,A2/88.wav,A2
5,3.7511692,E3/audio_216.wav,E3
