stimuli,mos
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/0.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/10.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/101.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/102.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/103.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/104.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/105.wav,4.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/106.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/107.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/108.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/109.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/11.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/12.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/13.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/14.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/15.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/16.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/17.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/18.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/19.wav,1.5
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/2.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/20.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/21.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/22.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/23.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/24.wav,1.5
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/25.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/26.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/27.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/28.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/29.wav,3.5
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/3.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/30.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/31.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/32.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/33.wav,3.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/37.wav,4.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/38.wav,2.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/39.wav,1.5
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/40.wav,4.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/41.wav,1.0
/home/aleph/tesis/frontend/public/assets/stimuli_norm/A/A1/42.wav,1.0
